Name	T0	T1	T2	T3	T4	Topics
FlexibleReflection_commit.txt	50	16.66666667	0	16.66666667	16.66666667	"[(0, '0.282*""initial"" + 0.282*""commit"" + 0.154*""update"" + 0.027*""add"" + 0.026*""project"" + 0.026*""comment"" + 0.026*""tweak"" + 0.026*""unneeded"" + 0.026*""use"" + 0.026*""macro""'), (1, '0.176*""brevity"" + 0.176*""auto"" + 0.176*""use"" + 0.176*""project"" + 0.029*""add"" + 0.029*""update"" + 0.029*""initial"" + 0.029*""comment"" + 0.029*""commit"" + 0.029*""unneeded""'), (2, '0.071*""add"" + 0.071*""update"" + 0.071*""commit"" + 0.071*""project"" + 0.071*""comment"" + 0.071*""initial"" + 0.071*""tweak"" + 0.071*""use"" + 0.071*""macro"" + 0.071*""unneeded""'), (3, '0.323*""add"" + 0.177*""comment"" + 0.177*""unused"" + 0.029*""update"" + 0.029*""project"" + 0.029*""initial"" + 0.029*""commit"" + 0.029*""unneeded"" + 0.029*""tweak"" + 0.029*""delete""'), (4, '0.154*""delete"" + 0.154*""macro"" + 0.154*""unneeded"" + 0.154*""tweak"" + 0.154*""comment"" + 0.026*""add"" + 0.026*""update"" + 0.026*""project"" + 0.026*""commit"" + 0.026*""initial""')]"
Hercules_commit.txt	10	8.75	5	55	21.25	"[(0, '0.138*""pull"" + 0.079*""request"" + 0.076*""fix"" + 0.053*""sync"" + 0.053*""documentation"" + 0.029*""condition"" + 0.029*""security"" + 0.029*""lapin"" + 0.029*""updatepacket"" + 0.029*""check""'), (1, '0.094*""request"" + 0.076*""packet"" + 0.052*""function"" + 0.028*""easy"" + 0.028*""understand"" + 0.028*""struct"" + 0.028*""miss"" + 0.028*""ack"" + 0.028*""shuffle"" + 0.028*""name""'), (2, '0.040*""failure"" + 0.040*""generate"" + 0.040*""backtrace"" + 0.040*""hide"" + 0.040*""server"" + 0.040*""can"" + 0.040*""char"" + 0.040*""true"" + 0.040*""operator"" + 0.040*""error""'), (3, '0.076*""skill"" + 0.076*""add"" + 0.076*""packet"" + 0.061*""update"" + 0.047*""hook"" + 0.018*""use"" + 0.018*""range"" + 0.018*""longer"" + 0.018*""mapping"" + 0.018*""index""'), (4, '0.195*""sign"" + 0.021*""use"" + 0.021*""enum"" + 0.021*""error"" + 0.021*""make"" + 0.021*""code"" + 0.021*""save"" + 0.021*""catch"" + 0.021*""help"" + 0.021*""battle""')]"
imgui_commit.txt	7.894736842	42.10526316	10.52631579	13.15789474	26.31578947	"[(0, '0.053*""end"" + 0.053*""internal"" + 0.029*""large"" + 0.029*""stand"" + 0.029*""xdd"" + 0.029*""range"" + 0.029*""facilitate"" + 0.029*""instead"" + 0.029*""shuffle"" + 0.029*""branch""'), (1, '0.052*""backend"" + 0.040*""window"" + 0.027*""fix"" + 0.027*""example"" + 0.027*""branch"" + 0.027*""merge"" + 0.027*""mouse"" + 0.015*""amend"" + 0.015*""rename"" + 0.015*""use""'), (2, '0.036*""first"" + 0.036*""wrap"" + 0.036*""opengl"" + 0.036*""call"" + 0.036*""backend"" + 0.020*""do"" + 0.020*""perform"" + 0.020*""define"" + 0.020*""menu"" + 0.020*""item""'), (3, '0.037*""update"" + 0.037*""comment"" + 0.020*""function"" + 0.020*""libstdc"" + 0.020*""move"" + 0.020*""requirement"" + 0.020*""remove"" + 0.020*""compiler"" + 0.020*""trivial"" + 0.020*""sdl""'), (4, '0.069*""add"" + 0.069*""setting"" + 0.031*""internal"" + 0.031*""last"" + 0.031*""metric"" + 0.021*""call"" + 0.021*""section"" + 0.021*""operation"" + 0.021*""buffer"" + 0.021*""amend""')]"
kaldi-lstm_commit.txt	13.33333333	3.333333333	16.66666667	53.33333333	13.33333333	"[(0, '0.180*""script"" + 0.180*""training"" + 0.125*""add"" + 0.069*""minor"" + 0.069*""stream"" + 0.069*""example"" + 0.012*""update"" + 0.011*""standard"" + 0.011*""todo"" + 0.011*""version""'), (1, '0.139*""commit"" + 0.139*""repo"" + 0.024*""update"" + 0.024*""standard"" + 0.023*""add"" + 0.023*""script"" + 0.023*""training"" + 0.023*""train_lstmsh"" + 0.023*""todo"" + 0.023*""version""'), (2, '0.215*""add"" + 0.061*""version"" + 0.061*""getparam"" + 0.061*""nnetproto"" + 0.061*""complete"" + 0.061*""component"" + 0.061*""transmit"" + 0.061*""method"" + 0.061*""train_lstmsh"" + 0.060*""standard""'), (3, '0.534*""update"" + 0.090*""standard"" + 0.049*""implementation"" + 0.049*""plan"" + 0.049*""todo"" + 0.010*""training"" + 0.010*""script"" + 0.008*""add"" + 0.008*""redundant"" + 0.008*""delete""'), (4, '0.097*""add"" + 0.053*""completely"" + 0.053*""clean"" + 0.053*""improve"" + 0.053*""compatible"" + 0.053*""clipping"" + 0.053*""stability"" + 0.053*""train"" + 0.053*""gradient"" + 0.053*""paper""')]"
libfuzzer-workshop_commit.txt	9.375	12.5	18.75	50	9.375	"[(0, '0.080*""lesson"" + 0.080*""add"" + 0.044*""history"" + 0.044*""empty"" + 0.044*""remove"" + 0.044*""big"" + 0.044*""report"" + 0.044*""generation"" + 0.044*""request"" + 0.044*""pull""'), (1, '0.108*""fix"" + 0.059*""issue"" + 0.059*""flag"" + 0.059*""word"" + 0.059*""change"" + 0.059*""coverage"" + 0.059*""information"" + 0.010*""add"" + 0.010*""update"" + 0.010*""lesson""'), (2, '0.052*""coverage"" + 0.052*""fuzzer"" + 0.052*""work"" + 0.052*""asan_option"" + 0.052*""dump_coverage"" + 0.052*""source"" + 0.052*""add"" + 0.028*""know"" + 0.028*""info"" + 0.028*""pcre""'), (3, '0.135*""add"" + 0.116*""update"" + 0.079*""lesson"" + 0.041*""use"" + 0.041*""file"" + 0.041*""binary"" + 0.023*""fix"" + 0.022*""instead"" + 0.022*""single"" + 0.022*""move""'), (4, '0.102*""lesson"" + 0.056*""miss"" + 0.056*""codesearch"" + 0.056*""link"" + 0.056*""moving"" + 0.056*""clean"" + 0.056*""issue"" + 0.055*""add"" + 0.009*""update"" + 0.009*""fix""')]"
libopenshot_commit.txt	18.05555556	13.88888889	5.555555556	9.722222222	52.77777778	"[(0, '0.122*""request"" + 0.122*""pull"" + 0.069*""ferdnyc"" + 0.029*""anyway"" + 0.017*""override"" + 0.016*""cmake"" + 0.016*""use"" + 0.016*""never"" + 0.016*""fix"" + 0.016*""match""'), (1, '0.041*""definition"" + 0.041*""variable"" + 0.041*""set"" + 0.028*""constructor"" + 0.028*""statement"" + 0.028*""resolve"" + 0.028*""crop"" + 0.028*""replace"" + 0.028*""scale"" + 0.028*""issue""'), (2, '0.049*""juce"" + 0.027*""isfinite"" + 0.027*""properly"" + 0.027*""enable"" + 0.027*""conflict"" + 0.027*""stage"" + 0.027*""rid"" + 0.027*""bundle"" + 0.027*""aptpackage"" + 0.027*""deprecate""'), (3, '0.071*""cmake"" + 0.049*""support"" + 0.049*""old"" + 0.027*""python"" + 0.027*""baseexception"" + 0.027*""accordingly"" + 0.027*""effect"" + 0.027*""exception"" + 0.027*""version"" + 0.027*""number""'), (4, '0.045*""add"" + 0.045*""class"" + 0.024*""package"" + 0.024*""cleanup"" + 0.024*""list"" + 0.024*""variable"" + 0.024*""origin"" + 0.024*""miss"" + 0.024*""installmd"" + 0.024*""markdown""')]"
lrucache11_commit.txt	16.07142857	19.64285714	10.71428571	5.357142857	48.21428571	"[(0, '0.249*""pull"" + 0.188*""request"" + 0.067*""breznak"" + 0.037*""get"" + 0.037*""validity"" + 0.037*""getcopy"" + 0.037*""comment"" + 0.037*""add_example"" + 0.037*""add"" + 0.006*""master""'), (1, '0.207*""update"" + 0.141*""remove"" + 0.074*""copy"" + 0.074*""base"" + 0.074*""class"" + 0.074*""delete"" + 0.040*""include"" + 0.007*""add"" + 0.007*""cmake"" + 0.007*""miss""'), (2, '0.089*""return"" + 0.089*""comment"" + 0.089*""fix"" + 0.061*""cache"" + 0.061*""prune"" + 0.061*""nest"" + 0.061*""avoid"" + 0.061*""early"" + 0.061*""typo"" + 0.033*""missing""'), (3, '0.085*""cmake"" + 0.085*""support"" + 0.085*""miss"" + 0.085*""add"" + 0.085*""master"" + 0.047*""const"" + 0.047*""contain"" + 0.046*""set"" + 0.046*""comment"" + 0.046*""orestonce""'), (4, '0.116*""add"" + 0.100*""list"" + 0.068*""link"" + 0.068*""use"" + 0.067*""example"" + 0.052*""item"" + 0.036*""set"" + 0.036*""key"" + 0.036*""vector"" + 0.036*""cache""')]"
paho.mqtt-sn.embedded-c_commit.txt	4.255319149	74.46808511	9.574468085	5.319148936	6.382978723	"[(0, '0.069*""file"" + 0.069*""declare"" + 0.069*""clientlist"" + 0.069*""forwerder"" + 0.069*""improve"" + 0.069*""documentation"" + 0.069*""would"" + 0.069*""name"" + 0.068*""add"" + 0.012*""sign""'), (1, '0.638*""sign"" + 0.032*""add"" + 0.032*""memory"" + 0.032*""length"" + 0.032*""log"" + 0.031*""issue"" + 0.015*""message"" + 0.009*""update"" + 0.005*""define"" + 0.005*""install""'), (2, '0.337*""update"" + 0.092*""directory"" + 0.092*""install"" + 0.077*""message"" + 0.050*""client"" + 0.050*""sleep"" + 0.009*""issue"" + 0.009*""add"" + 0.009*""log"" + 0.009*""length""'), (3, '0.083*""gateway"" + 0.083*""transparent"" + 0.045*""forwarder"" + 0.045*""aggregate"" + 0.045*""function"" + 0.045*""qos"" + 0.045*""encapsulation"" + 0.045*""set"" + 0.045*""select"" + 0.045*""aggrigate""'), (4, '0.159*""pull"" + 0.159*""develop"" + 0.159*""request"" + 0.045*""define"" + 0.045*""address"" + 0.045*""delete"" + 0.045*""ipadress"" + 0.045*""portno"" + 0.045*""unused"" + 0.009*""sign""')]"
RunebergVRPlugin_commit.txt	2.941176471	50	17.64705882	20.58823529	8.823529412	"[(0, '0.069*""ensure"" + 0.069*""see"" + 0.012*""update"" + 0.011*""upgrade"" + 0.011*""request"" + 0.011*""compile"" + 0.011*""binary"" + 0.011*""work"" + 0.011*""apply"" + 0.011*""add""'), (1, '0.062*""add"" + 0.043*""map"" + 0.043*""movement"" + 0.043*""upgrade"" + 0.023*""fix"" + 0.023*""reference"" + 0.023*""tune"" + 0.023*""hand"" + 0.023*""detection"" + 0.023*""mesh""'), (2, '0.085*""work"" + 0.065*""teleporter"" + 0.045*""define"" + 0.045*""nav"" + 0.045*""support"" + 0.045*""agent"" + 0.045*""randomly"" + 0.045*""multiple"" + 0.045*""set"" + 0.045*""fvector""'), (3, '0.103*""update"" + 0.048*""use"" + 0.048*""compile"" + 0.048*""release"" + 0.043*""reference"" + 0.042*""version"" + 0.026*""upgrade"" + 0.026*""code"" + 0.026*""project"" + 0.026*""motionsource""'), (4, '0.080*""change"" + 0.044*""navsystem"" + 0.044*""request"" + 0.044*""default"" + 0.044*""rift"" + 0.044*""refactor"" + 0.044*""height"" + 0.044*""minor"" + 0.044*""category"" + 0.044*""offset""')]"
SkyFire_commit.txt	7.608695652	9.782608696	7.608695652	71.73913043	3.260869565	"[(0, '0.109*""issue"" + 0.084*""analysis"" + 0.058*""fix"" + 0.058*""enum"" + 0.032*""link"" + 0.032*""defunct"" + 0.032*""longer"" + 0.032*""service"" + 0.032*""use"" + 0.032*""partyoperation""'), (1, '0.062*""add"" + 0.042*""fix"" + 0.042*""server"" + 0.042*""compiler"" + 0.042*""packet"" + 0.023*""warning"" + 0.023*""msvc"" + 0.023*""error"" + 0.023*""message"" + 0.023*""requirement""'), (2, '0.073*""enum"" + 0.050*""compile"" + 0.050*""scope"" + 0.050*""add"" + 0.027*""prevent"" + 0.027*""model"" + 0.027*""virtual"" + 0.027*""undefined"" + 0.027*""dtor"" + 0.027*""behavior""'), (3, '0.475*""sign"" + 0.040*""cmake"" + 0.040*""version"" + 0.022*""build"" + 0.022*""update"" + 0.022*""minimum"" + 0.022*""require"" + 0.022*""system"" + 0.022*""number"" + 0.022*""expect""'), (4, '0.043*""uploaded"" + 0.043*""apply"" + 0.043*""shortly"" + 0.043*""release"" + 0.043*""forum"" + 0.043*""world"" + 0.043*""code"" + 0.043*""unreachable"" + 0.043*""database"" + 0.043*""typo""')]"
tango-examples-c_commit.txt	1.851851852	87.03703704	7.407407407	3.703703704	0	"[(0, '0.111*""release"" + 0.106*""remote"" + 0.106*""origin"" + 0.106*""track"" + 0.106*""branch"" + 0.106*""master"" + 0.106*""argentine_tango"" + 0.019*""googlesample"" + 0.019*""pull"" + 0.019*""request""'), (1, '0.249*""release"" + 0.213*""request"" + 0.213*""pull"" + 0.196*""googlesample"" + 0.056*""biyelgee"" + 0.021*""caporale"" + 0.004*""argentine_tango"" + 0.004*""ikariotikos"" + 0.004*""conversion"" + 0.004*""improve""'), (2, '0.145*""update"" + 0.145*""caporale"" + 0.141*""release"" + 0.079*""deprecation"" + 0.079*""notice"" + 0.079*""readme"" + 0.079*""status"" + 0.079*""project"" + 0.014*""biyelgee"" + 0.013*""request""'), (3, '0.262*""improve"" + 0.262*""conversion"" + 0.031*""request"" + 0.031*""pull"" + 0.028*""release"" + 0.028*""googlesample"" + 0.024*""caporale"" + 0.024*""biyelgee"" + 0.024*""project"" + 0.024*""update""'), (4, '0.227*""ikariotikos"" + 0.041*""googlesample"" + 0.041*""release"" + 0.041*""pull"" + 0.041*""request"" + 0.038*""biyelgee"" + 0.038*""caporale"" + 0.038*""conversion"" + 0.038*""improve"" + 0.038*""update""')]"
vcftools_commit.txt	8.571428571	64.28571429	14.28571429	4.285714286	8.571428571	"[(0, '0.071*""number"" + 0.070*""check"" + 0.070*""request"" + 0.038*""allele"" + 0.038*""typo"" + 0.038*""minor"" + 0.038*""fix"" + 0.038*""increment"" + 0.038*""add"" + 0.038*""additional""'), (1, '0.221*""update"" + 0.050*""issue"" + 0.034*""request"" + 0.034*""check"" + 0.034*""file"" + 0.034*""version"" + 0.034*""pull"" + 0.034*""use"" + 0.034*""vcftool"" + 0.034*""issuecomment""'), (2, '0.146*""error"" + 0.126*""code"" + 0.106*""remove"" + 0.045*""length"" + 0.045*""fail"" + 0.045*""expectation"" + 0.024*""add"" + 0.024*""warn"" + 0.024*""set"" + 0.024*""line""'), (3, '0.087*""state"" + 0.087*""warn"" + 0.087*""expect"" + 0.087*""message"" + 0.048*""exit"" + 0.048*""statement"" + 0.048*""replace"" + 0.048*""error"" + 0.008*""update"" + 0.008*""request""'), (4, '0.129*""format"" + 0.066*""entry"" + 0.066*""least"" + 0.066*""correct"" + 0.066*""part"" + 0.066*""filter"" + 0.045*""executable"" + 0.045*""vcf"" + 0.045*""bit"" + 0.045*""set""')]"
VulkanSceneGraph_commit.txt	5.555555556	19.44444444	25	47.22222222	2.777777778	"[(0, '0.072*""support"" + 0.039*""improve"" + 0.039*""windowtrait"" + 0.039*""use"" + 0.039*""share"" + 0.039*""device"" + 0.039*""secodary"" + 0.039*""execute"" + 0.039*""renderpass"" + 0.039*""window""'), (1, '0.042*""usage"" + 0.042*""commandbuffer"" + 0.042*""remove"" + 0.042*""public"" + 0.042*""add"" + 0.023*""pass"" + 0.023*""vkcommandbuffer"" + 0.023*""depend"" + 0.023*""flag"" + 0.023*""later""'), (2, '0.060*""pull"" + 0.060*""request"" + 0.041*""multisample"" + 0.041*""add"" + 0.041*""dev"" + 0.022*""type"" + 0.022*""command"" + 0.022*""member"" + 0.022*""buffer"" + 0.022*""handle""'), (3, '0.063*""add"" + 0.063*""executecommand"" + 0.048*""fix"" + 0.033*""secondary"" + 0.033*""commandgraph"" + 0.033*""viewport"" + 0.033*""camera"" + 0.033*""valid"" + 0.033*""check"" + 0.018*""support""'), (4, '0.056*""complete"" + 0.056*""addde"" + 0.056*""pass"" + 0.056*""support"" + 0.010*""executecommand"" + 0.009*""add"" + 0.009*""multisample"" + 0.009*""type"" + 0.009*""request"" + 0.009*""pull""')]"
